¤é´Á,Number
2015-06-13,153
2015-06-14,162
2015-06-15,130
2015-06-16,162
2015-06-17,226
2015-06-18,375
2015-06-19,145
2015-06-20,116
2015-06-21,105
2015-06-22,111
2015-06-23,111
2015-06-24,117
2015-06-25,99
2015-06-26,95
2015-06-27,151
2015-06-28,192
2015-06-29,527
2015-06-30,453
2015-07-01,134
2015-07-02,75
2015-07-03,91
2015-07-04,82
2015-07-05,84
2015-07-06,82
2015-07-07,101
2015-07-08,87
2015-07-09,85
2015-07-10,71
2015-07-11,84
2015-07-12,82
2015-07-13,64
2015-07-14,80
2015-07-15,69
2015-07-16,75
2015-07-17,83
2015-07-18,96
2015-07-19,103
2015-07-20,72
2015-07-21,98
2015-07-22,90
2015-07-23,80
2015-07-24,78
2015-07-25,77
2015-07-26,95
2015-07-27,68
2015-07-28,88
2015-07-29,84
2015-07-30,110
2015-07-31,86
2015-08-01,89
2015-08-02,85
2015-08-03,95
2015-08-04,104
2015-08-05,103
2015-08-06,105
2015-08-07,103
2015-08-08,95
2015-08-09,81
2015-08-10,91
2015-08-11,97
2015-08-12,88
2015-08-13,75
2015-08-14,90
2015-08-15,88
2015-08-16,95
2015-08-17,97
2015-08-18,131
2015-08-19,96
2015-08-20,94
2015-08-21,103
2015-08-22,106
2015-08-23,85
2015-08-24,133
2015-08-25,169
2015-08-26,94
2015-08-27,103
2015-08-28,99
2015-08-29,95
2015-08-30,79
2015-08-31,102
2015-09-01,184
2015-09-02,85
2015-09-03,91
2015-09-04,104
2015-09-05,92
2015-09-06,116
2015-09-07,102
2015-09-08,119
2015-09-09,113
2015-09-10,101
